id,type,properties,geometry,country
0,Feature,"{'id': '36', 'modern': 'Sint-Truiden', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [5.18706, 50.8156]}",['BE']
1,Feature,"{'id': '51', 'modern': 'Quierzy', 'latin': 'Carisiaco', 'greek': '', 'ancient': 1, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [3.142, 49.57206]}",['FR']
2,Feature,"{'id': '74', 'modern': 'Pfalzel', 'latin': 'Palatiolum', 'greek': '', 'ancient': 1, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [6.694844, 49.780476]}",['DE']
3,Feature,"{'id': '78', 'modern': 'Tholey', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.03135, 49.48137]}",['DE']
4,Feature,"{'id': '201', 'modern': 'Burgille', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': -30, 'endyear': 300}","{'type': 'Point', 'coordinates': [5.77783, 47.26746]}",['FR']
5,Feature,"{'id': '238', 'modern': 'Maubeuge', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [3.977222, 50.277222]}",['FR']
6,Feature,"{'id': '245', 'modern': 'Port-le-Grand', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [1.7473, 50.15171]}",['FR']
7,Feature,"{'id': '286', 'modern': 'Montier-en-Der', 'latin': 'Puteolus', 'greek': '', 'ancient': 1, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [4.77172, 48.4778]}",['FR']
8,Feature,"{'id': '318', 'modern': 'Aulne', 'latin': '[Alna]', 'greek': '', 'ancient': 1, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [4.331681, 50.365742]}",['BE']
9,Feature,"{'id': '338', 'modern': 'Mondsee', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 100, 'endyear': 200}","{'type': 'Point', 'coordinates': [13.3502, 47.8554]}",['AT']
10,Feature,"{'id': '362', 'modern': 'Ingelheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.071497, 49.977542]}",['DE']
11,Feature,"{'id': '369', 'modern': 'Samoussy', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [3.73262, 49.58311]}",['FR']
12,Feature,"{'id': '413', 'modern': 'Luzarches', 'latin': '[Luzareca]', 'greek': '', 'ancient': 1, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [2.42861, 49.11215]}",['FR']
13,Feature,"{'id': '441', 'modern': 'Le Bois Saint-Jean', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [2.9776458, 49.8545801]}",['FR']
14,Feature,"{'id': '503', 'modern': 'Jupille-sur-Meuse', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [5.6326457, 50.6469854]}",['BE']
15,Feature,"{'id': '517', 'modern': 'Fitten', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.597156, 49.443157]}",['DE']
16,Feature,"{'id': '546', 'modern': 'Albisheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.098392, 49.648975]}",['DE']
17,Feature,"{'id': '618', 'modern': 'Groß-Umstadt', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.9295, 49.868641]}",['DE']
18,Feature,"{'id': '562', 'modern': 'Bodenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.30416, 49.927633]}",['DE']
19,Feature,"{'id': '563', 'modern': 'Laubenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.31, 49.9636]}",['DE']
