,id,type,properties,geometry,country
1910,1910,Feature,"{'id': '25299', 'modern': 'Vouni', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': -750, 'endyear': -330}","{'type': 'Point', 'coordinates': [32.7733273, 35.1591599]}",['CY']
2649,2649,Feature,"{'id': '35035', 'modern': 'Karantinnaya sloboda', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': -330, 'endyear': 300}","{'type': 'Point', 'coordinates': [36.497551, 45.374621]}",['RU']
2650,2650,Feature,"{'id': '35036', 'modern': 'Partizany', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': -330, 'endyear': -30}","{'type': 'Point', 'coordinates': [36.527371, 45.400558]}",['RU']
4361,4361,Feature,"{'id': '42000', 'modern': 'Nerodime e Poshtme', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [21.09826, 42.364293]}",['RS']
4362,4362,Feature,"{'id': '42002', 'modern': 'Nikadin', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [21.169841, 42.357812]}",['RS']
4649,4649,Feature,"{'id': '44332', 'modern': ""Herod's Palace"", 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': -134, 'endyear': -31}","{'type': 'Point', 'coordinates': [35.4362381, 31.8518717]}",['PS']
4661,4661,Feature,"{'id': '44493', 'modern': 'Pestova', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [21.000181, 42.780157]}",['RS']
5386,5386,Feature,"{'id': '21029', 'modern': 'Mar Elias', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 20, 'startyear': 500, 'endyear': 0}","{'type': 'Point', 'coordinates': [35.2110153, 31.7348058]}",['IL']
5398,5398,Feature,"{'id': '21068', 'modern': 'Tsandryphsh', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [40.070982, 43.379365]}",['GE']
5413,5413,Feature,"{'id': '21144', 'modern': 'Bethabara', 'latin': 'Bethabara', 'greek': '', 'ancient': 1, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.538953, 31.838109]}",['PS']
5468,5468,Feature,"{'id': '43129', 'modern': 'Beit Lahia', 'latin': 'Bethelea', 'greek': '', 'ancient': 1, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.504387, 31.53842]}",['PS']
5469,5469,Feature,"{'id': '43128', 'modern': 'Deir al-Balah', 'latin': 'Hilarion', 'greek': '', 'ancient': 1, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 200, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.351603, 31.418994]}",['PS']
5494,5494,Feature,"{'id': '44330', 'modern': 'Ain-Fara', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 200, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.305402, 31.832348]}",['PS']
5495,5495,Feature,"{'id': '44331', 'modern': ""Shepherds' Field"", 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.22971, 31.70739]}",['PS']
5496,5496,Feature,"{'id': '44333', 'modern': 'Deir al-Quruntal', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '21', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.4313161, 31.8727061]}",['PS']
5514,5514,Feature,"{'id': '21067', 'modern': 'Dranda', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 551, 'endyear': 0}","{'type': 'Point', 'coordinates': [41.162222, 42.874167]}",['GE']
5550,5550,Feature,"{'id': '37249', 'modern': 'Khirbet Hureitun', 'latin': 'Chariton', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.235938, 31.65149]}",['PS']
5551,5551,Feature,"{'id': '37250', 'modern': 'Deir Mar Jiryis', 'latin': 'Choziba', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 480, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.4117778, 31.8440757]}",['PS']
5552,5552,Feature,"{'id': '37251', 'modern': ""Deir el Qal'a"", 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.051677, 32.064852]}",['PS']
5553,5553,Feature,"{'id': '37252', 'modern': 'Khan el Ahmar', 'latin': 'Euthymios', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 420, 'endyear': 0}","{'type': 'Point', 'coordinates': [35.33627, 31.79219]}",['PS']
5554,5554,Feature,"{'id': '37253', 'modern': 'Deir Hajla', 'latin': 'Gerasimos', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.501404, 31.820158]}",['PS']
5555,5555,Feature,"{'id': '37254', 'modern': 'Khirbet Mird', 'latin': 'Hyrkania', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': -330, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.36587, 31.718968]}",['PS']
5556,5556,Feature,"{'id': '37255', 'modern': 'Khirbet ed Deir', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.25142, 31.52711]}",['PS']
5557,5557,Feature,"{'id': '37256', 'modern': 'Khirbet el Quneitira', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.179875, 31.46041]}",['PS']
5558,5558,Feature,"{'id': '37257', 'modern': 'Khirbet Murasas (el-Murassas?)', 'latin': 'Martyrios', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.300317, 31.779181]}",['PS']
5559,5559,Feature,"{'id': '37258', 'modern': 'Mar Saba', 'latin': 'Megiste Laura Saba', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 483, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.3311461, 31.7049404]}",['PS']
5560,5560,Feature,"{'id': '37259', 'modern': 'Deir el Mukalik', 'latin': 'Theoktistos', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.385086, 31.776175]}",['PS']
5561,5561,Feature,"{'id': '37260', 'modern': 'Deir Dosi', 'latin': 'Theodosios', 'greek': '', 'ancient': 1, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 20, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.2827437, 31.7211342]}",['PS']
5566,5566,Feature,"{'id': '37265', 'modern': 'Ag. Trias', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.227391, 35.543053]}",['CY']
5567,5567,Feature,"{'id': '37266', 'modern': 'Lysi', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 200, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [33.682065, 35.105849]}",['CY']
5569,5569,Feature,"{'id': '37268', 'modern': 'Panagia Kanakaria', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.156296, 35.4776]}",['CY']
5570,5570,Feature,"{'id': '37269', 'modern': 'Panagia tis Kyras', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [34.022515, 35.401657]}",['CY']
5571,5571,Feature,"{'id': '37270', 'modern': 'Petrera', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [33.60224, 35.231408]}",['CY']
5676,5676,Feature,"{'id': '37406', 'modern': 'Khirbet Jedora', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '24', 'building': 0, 'accuracy': 2000, 'startyear': 300, 'endyear': 640}","{'type': 'Point', 'coordinates': [35.268975, 32.512]}",['PS']
5786,5786,Feature,"{'id': '37445', 'modern': 'Dort Oba', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -550, 'endyear': -30}","{'type': 'Point', 'coordinates': [34.092742, 45.138663]}",['UA']
5793,5793,Feature,"{'id': '37452', 'modern': 'Kulakovsky', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -750, 'endyear': -330}","{'type': 'Point', 'coordinates': [33.785277, 44.692144]}",['UA']
5802,5802,Feature,"{'id': '37461', 'modern': 'Talayevskiy', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -550, 'endyear': -30}","{'type': 'Point', 'coordinates': [34.108329, 45.061614]}",['UA']
5806,5806,Feature,"{'id': '37465', 'modern': 'Zolotoy Kurgan', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '32', 'building': 0, 'accuracy': 2000, 'startyear': -550, 'endyear': -330}","{'type': 'Point', 'coordinates': [33.912952, 45.063386]}",['UA']
7013,7013,Feature,"{'id': '43127', 'modern': 'Umm el-Tut', 'latin': 'Thabatha', 'greek': '', 'ancient': 1, 'major': 0, 'type': '34', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [34.366286, 31.447337]}",['PS']
7166,7166,Feature,"{'id': '38527', 'modern': 'Klukhor Pass', 'latin': '', 'greek': '', 'ancient': 0, 'major': 3, 'type': '49', 'building': 0, 'accuracy': 2000, 'startyear': -330, 'endyear': 300}","{'type': 'Point', 'coordinates': [41.8652778, 43.2441667]}",['GE']
7183,7183,Feature,"{'id': '38544', 'modern': '', 'latin': '', 'greek': '', 'ancient': 0, 'major': 3, 'type': '49', 'building': 0, 'accuracy': 2000, 'startyear': -330, 'endyear': 300}","{'type': 'Point', 'coordinates': [43.860028, 42.594177]}",['RU']
